type,amount,category,description,date
expense,378.32,Misc,Bus fare,2024-03-24T01:21:00
expense,378.51,Entertainment,Grocery shopping,2024-08-25T11:19:00
expense,357.53,Healthcare,Movie tickets,2024-05-04T00:25:00
income,3909.69,Bonus,Stock dividends,2024-10-25T20:10:00
income,4833.35,Bonus,Stock dividends,2023-11-25T03:42:00
income,3798.87,Freelance,Stock dividends,2023-02-17T03:14:00
income,4509.87,Salary,Monthly salary,2024-11-18T19:59:00
income,4949.73,Gift,Monthly salary,2023-02-17T17:19:00
expense,380.57,Entertainment,Movie tickets,2024-07-18T13:39:00
expense,324.24,Food,,2023-12-26T23:32:00
income,4405.44,Investment,,2024-07-14T02:04:00
income,875.71,Investment,Monthly salary,2023-07-21T04:06:00
income,4355.4,Freelance,Monthly salary,2023-02-24T18:27:00
expense,403.05,Food,Movie tickets,2023-01-25T19:58:00
expense,324.95,Food,Electricity bill,2024-10-13T18:23:00
expense,227.28,Food,Bus fare,2024-10-13T22:16:00
expense,183.81,Rent,Bus fare,2023-07-28T13:31:00
expense,379.41,Healthcare,Electricity bill,2024-09-13T20:18:00
income,1700.58,Gift,,2023-04-01T10:34:00
income,888.23,Bonus,Annual bonus,2023-07-29T08:47:00
income,2440.51,Salary,Birthday gift,2024-09-10T12:51:00
income,4075.05,Freelance,Stock dividends,2023-05-03T00:59:00
income,979.71,Salary,,2024-06-07T19:36:00
income,2497.47,Salary,Monthly salary,2024-04-15T01:14:00
expense,18.87,Healthcare,Monthly rent,2024-05-12T03:19:00
expense,224.29,Entertainment,Doctor visit,2023-09-11T07:25:00
income,2472.81,Gift,Birthday gift,2024-04-02T07:10:00
income,953.51,Bonus,Annual bonus,2024-03-24T07:51:00
income,4551.87,Freelance,Stock dividends,2023-09-26T13:50:00
expense,309.46,Utilities,Movie tickets,2024-08-08T10:12:00
expense,441.43,Healthcare,Monthly rent,2024-02-01T08:35:00
expense,418.89,Healthcare,Doctor visit,2024-12-13T00:32:00
expense,15.27,Misc,Grocery shopping,2023-01-08T19:05:00
income,2297.0,Bonus,Stock dividends,2024-09-29T01:58:00
expense,335.53,Rent,,2023-02-22T15:47:00
income,4219.25,Freelance,Annual bonus,2024-08-29T13:36:00
income,4517.45,Freelance,Annual bonus,2023-03-01T07:50:00
expense,96.01,Healthcare,Doctor visit,2023-12-11T04:29:00
expense,264.43,Transportation,Grocery shopping,2023-12-20T21:01:00
income,1103.18,Investment,Annual bonus,2024-08-12T05:10:00
expense,311.16,Entertainment,Electricity bill,2024-04-12T12:53:00
expense,261.68,Entertainment,Movie tickets,2023-04-13T18:50:00
expense,144.75,Food,Monthly rent,2023-11-27T17:47:00
expense,253.75,Transportation,Movie tickets,2024-09-23T19:25:00
expense,367.9,Utilities,Electricity bill,2023-07-28T03:46:00
income,4092.58,Bonus,Annual bonus,2023-03-29T19:51:00
income,1558.49,Bonus,Project payment,2023-05-21T07:05:00
expense,63.06,Food,,2023-11-11T03:24:00
expense,125.86,Rent,,2023-03-27T00:11:00
expense,194.47,Entertainment,Grocery shopping,2023-08-26T16:24:00
expense,398.85,Food,Grocery shopping,2023-03-30T06:54:00
income,4774.76,Gift,Birthday gift,2024-05-21T02:26:00
expense,195.31,Utilities,Doctor visit,2023-05-13T02:08:00
expense,320.76,Healthcare,Electricity bill,2024-12-13T08:30:00
expense,139.88,Misc,Grocery shopping,2023-11-27T13:06:00
expense,246.28,Utilities,Doctor visit,2024-03-17T18:11:00
expense,212.34,Healthcare,Doctor visit,2024-12-08T13:54:00
expense,357.18,Transportation,Monthly rent,2023-02-20T18:53:00
